ticker,trade_number,entry_date,entry_price,exit_date,exit_price,return_pct,winner,next_open_entry_price,next_open_return_pct,next_open_winner,rsi14_signal,rsi_change_signal,volume_ratio_signal,volume_percentile60_signal,rsi14_prior,volume_ratio_prior,volume_percentile60_prior,atr_pct_prior,above_sma200_prior,sma50_over_200_prior,return_5d_prior,return_20d_prior,body_pct_signal,close_location_signal,price_change_signal,price_up_signal,rsi_cross_up_50,rsi_cross_up_50_price_up,rsi_cross_up_50_last_3_price_up,forward_return_1d_from_close,forward_return_1d_from_next_open,forward_return_5d_from_close,forward_return_5d_from_next_open,forward_return_10d_from_close,forward_return_10d_from_next_open,forward_return_20d_from_close,forward_return_20d_from_next_open,anchor_span,bars_after_anchor,line_drop_pct,breakout_pct
AAPL,134,2025-02-05,228.53,2025-02-07,228.53,-0.3,0,231.29,-1.4933071036361238,0,46.520087825698546,-0.33677598214417515,0.6482791525835004,0.2833333333333333,46.85686380784272,0.7403258647440367,0.55,2.825174631122095,1,1,-2.291614202971537,-4.339250493096647,1.7240624863256455,0.9545454545454569,-0.14175257731959823,0,0,0,0,0.3226222738417883,0.8344502572527945,1.892717339871819,2.412555666046967,5.746978104701683,6.286480176401921,1.2302662709166912,1.7467248908296984,2.0,1.0,5.821432905861882,1.2965138183994074
AAPL,135,2025-02-11,232.6,2025-02-14,241.25,3.419,1,231.2,4.046885813148794,1,48.19656892210248,6.505766038573626,0.9109065485821687,0.7166666666666667,41.69080288352885,0.5482513268344006,0.08333333333333333,2.655651314852079,1,1,-0.15788781193806223,-3.884314967278868,1.936897458369858,0.6323943661971849,2.1831759279595797,1,0,0,0,1.8270140142722102,2.4524221453287254,5.266099217608122,5.912629757785481,3.32731493422751,3.9619377162629865,-6.72341157252172,-6.150519031141865,,,,
AAPL,136,2025-02-19,244.66,2025-02-26,244.33,-0.435,0,244.94,-0.5490405813668593,0,60.668816748646854,0.3893167708439407,0.5588104719571424,0.06666666666666667,60.279499977802914,0.8329607637050388,0.6333333333333333,2.410645721800124,1,1,7.388535031847132,6.300547873728157,0.08583340145508378,0.600000000000004,0.1636192579866691,1,0,0,0,0.39204475844325515,0.3633542908467513,-1.8417936047698702,-1.869845676492199,-3.7285090047780467,-3.756021882910099,-12.100298117368402,-12.125418469829341,,,,
AAPL,137,2025-03-06,234.44,2025-03-10,234.44,-0.3,0,235.11,-0.5849729913657504,0,44.99833205440171,-0.5369050938875617,1.012390410324901,0.4666666666666667,45.53523714828927,1.061066550766459,0.55,2.5792086073854716,1,1,-1.922116824762854,1.2628865979381398,0.37962804982085596,0.4617021276595762,-0.17392042080257575,0,0,0,0,1.589257638210162,1.684317978818406,-10.899587812858535,-10.81621368721024,-9.021374240428337,-8.936242609842203,-13.657417243870318,-13.57662370805156,5.0,1.0,3.5157369131911773,0.17861568570475336
AAPL,138,2025-03-13,215.95,2025-03-25,220.77,1.932,1,211.25,4.20650887573965,1,25.78560847425325,-4.148406045637358,1.229253272549345,0.7833333333333333,29.93401451989061,1.2640511315478142,0.8166666666666667,3.17706362045578,0,1,-7.957919742088748,-6.72341157252172,-2.903449872655699,0.14964370546318492,-3.364365379297618,0,0,0,0,1.8170545593285015,1.0603550295858133,2.1079740557039317,1.3491124260355036,6.757916825639065,5.964497041420125,-9.185425410148806,-9.86035502958581,2.0,1.0,6.538167614842492,1.6522312182263184
AAPL,139,2025-03-27,223.75,2025-03-28,221.39,-1.355,0,221.67,-0.42631389001669195,0,47.74606026046941,3.0097244017699367,0.6927044264042163,0.11666666666666667,44.736335858699476,0.6376817064272989,0.08333333333333333,2.6919686446433806,0,1,2.922319271510876,-7.834082210018312,1.111161299065002,0.7426636568848729,1.047262221820966,1,0,0,0,-2.6580299307571997,-1.7007263048675836,-9.22939468394014,-8.336716741101636,-14.934107661380391,-14.097532367934317,-6.5088228724592305,-5.589389633238595,,,,
AAPL,140,2025-03-31,221.67,2025-04-03,205.54,-7.577,0,219.81,-6.791970338019202,0,46.82615082143535,5.322934408141904,1.243867031665232,0.8333333333333334,41.503216413293444,0.7463969895637586,0.21666666666666667,2.6969040408979574,0,1,-0.16951482109314187,-9.89910684750248,2.359338279341968,0.6283280085197014,1.941257457549339,1,0,0,0,0.4771980371854223,1.5376916427823906,-18.309098275784443,-17.446885946954183,-8.828163687930479,-7.865884172694592,-4.916040156665014,-3.9124698603339225,,,,
AAPL,141,2025-04-08,186.7,2025-04-09,171.95,-8.2,0,171.95,-0.3,0,20.044917774718428,-2.7118075173757177,1.9098718787664066,0.9666666666666667,22.756725292094146,2.726157401292164,1.0,4.719040336640741,0,0,-18.309098275784443,-20.230349920872158,-7.648634172469203,0.15191670610506294,-4.981814173922638,0,0,0,0,15.328848161466201,15.64408258214598,17.236979468739122,17.557429485315488,18.663728105788202,18.98807792963071,13.820902447511907,14.132015120674613,2.0,1.0,11.71548117154811,10.199504190768486
AAPL,142,2025-04-14,211.44,2025-04-15,201.86,-4.831,0,201.86,-0.3,0,45.668633169016935,2.5805123386865034,1.333555783634364,0.9,43.08812083033043,1.1715042611044224,0.8333333333333334,5.731927100986515,0,0,5.186325512262457,-7.18534825987166,-4.218690881573963,0.11544991511035768,2.2053999495331933,1,0,0,0,-0.1876357890578828,0.13870999702763065,-1.3727039304760047,-1.0502328346378653,4.290934228718157,4.631923115030223,5.140233063401145,5.483998811057167,,,,
AAPL,143,2025-04-22,196.12,2025-04-25,206.37,4.926,1,206.0,-0.12038834951456087,0,45.9232950583378,4.503925160036424,0.6864475828354155,0.5333333333333333,41.419369898301376,0.5876308560603294,0.36666666666666664,5.3090215289462,0,0,-2.518294221549333,-11.504100426077802,1.845808688558028,0.6708185053380795,3.406502381445442,1,0,0,0,2.4331631120456443,-0.6796116504854344,5.742465204766201,2.5291262135922477,-0.6158005407029266,-3.6359223300970966,3.5646340242315055,0.4174757281553365,3.0,1.0,4.38804788760264,3.0511086979367232
