symbol,timestamp_ny,session,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_nonzero
PAAS,2026-09-18T19:00:00-04:00,after hours,50.0994,50.11,50.0,50.0,0,0.0,0.0,False
PAAS,2026-09-18T19:30:00-04:00,after hours,50.11,50.11,50.08,50.08,0,0.0,0.0,False
PAAS,2026-09-21T16:00:00-04:00,after hours,48.75,48.8,48.75,48.75,159972,0.0,0.0,True
PAAS,2026-09-21T16:30:00-04:00,after hours,48.5549,48.8,48.5549,48.7859,0,0.0,0.0,False
PAAS,2026-09-21T17:00:00-04:00,after hours,48.75,48.81,48.75,48.75,0,0.0,0.0,False
PAAS,2026-09-21T18:00:00-04:00,after hours,48.7648,48.7648,48.7648,48.7648,0,0.0,0.0,False
PAAS,2026-09-21T18:30:00-04:00,after hours,48.81,48.84,48.81,48.84,0,0.0,0.0,False
PAAS,2026-09-21T19:00:00-04:00,after hours,48.93,48.93,48.9,48.91,0,0.0,0.0,False
PAAS,2026-09-21T19:30:00-04:00,after hours,48.8896,49.06,48.8896,49.06,0,0.0,0.0,False
PAAS,2026-09-22T16:00:00-04:00,after hours,50.85,50.85,50.85,50.85,216249,0.0,0.0,True
PAAS,2026-09-22T16:30:00-04:00,after hours,50.5492,51.1543,50.5492,51.1543,0,0.0,0.0,False
PAAS,2026-09-22T17:00:00-04:00,after hours,50.90676,50.90676,50.90676,50.90676,0,0.0,0.0,False
PAAS,2026-09-22T17:30:00-04:00,after hours,50.9,50.9,50.85,50.85,0,0.0,0.0,False
PAAS,2026-09-22T18:00:00-04:00,after hours,50.9,51.1982,50.9,51.1982,0,0.0,0.0,False
PAAS,2026-09-22T18:30:00-04:00,after hours,51.24,51.24,50.6027,50.6027,0,0.0,0.0,False
PAAS,2026-09-22T19:00:00-04:00,after hours,50.59,50.59,50.59,50.59,0,0.0,0.0,False
PAAS,2026-09-23T16:00:00-04:00,after hours,48.11,48.16,47.9402,48.11,314321,0.0,0.0,True
PAAS,2026-09-23T16:30:00-04:00,after hours,48.11,48.11,48.11,48.11,0,0.0,0.0,False
PAAS,2026-09-23T17:00:00-04:00,after hours,48.074333,48.074333,48.074333,48.074333,0,0.0,0.0,False
PAAS,2026-09-23T17:30:00-04:00,after hours,48.0093,48.11,48.0093,48.11,0,0.0,0.0,False
PAAS,2026-09-23T18:30:00-04:00,after hours,48.06,48.07,48.06,48.07,0,0.0,0.0,False
PAAS,2026-09-23T19:00:00-04:00,after hours,48.0746,48.0746,48.07,48.07,0,0.0,0.0,False
PAAS,2026-09-23T19:30:00-04:00,after hours,48.06,48.062,47.978,48.0137,0,0.0,0.0,False
PANW,2026-09-18T16:00:00-04:00,after hours,363.52,365.4,361.77,364.68,0,0.0,0.0,False
PANW,2026-09-18T16:30:00-04:00,after hours,364.7,365.4,363.58,364.9,0,0.0,0.0,False
PANW,2026-09-18T17:00:00-04:00,after hours,364.7,364.9,363.55,364.83,0,0.0,0.0,False
PANW,2026-09-18T17:30:00-04:00,after hours,364.08,364.9,363.8,363.9689,0,0.0,0.0,False
PANW,2026-09-18T18:00:00-04:00,after hours,364.29,364.42,363.55,363.58,0,0.0,0.0,False
PANW,2026-09-18T18:30:00-04:00,after hours,363.99,364.7,362.0,363.5,0,0.0,0.0,False
PANW,2026-09-18T19:00:00-04:00,after hours,363.76,364.9,362.02,362.02,0,0.0,0.0,False
PANW,2026-09-18T19:30:00-04:00,after hours,363.85,363.85,363.0,363.0,0,0.0,0.0,False
PANW,2026-09-21T16:00:00-04:00,after hours,371.76,372.2099,368.0,370.8592,0,0.0,0.0,False
PANW,2026-09-21T16:30:00-04:00,after hours,371.19,371.49,368.5,370.73,0,0.0,0.0,False
PANW,2026-09-21T17:00:00-04:00,after hours,370.74,371.5,368.5682,370.0472,0,0.0,0.0,False
PANW,2026-09-21T17:30:00-04:00,after hours,371.03,372.1,370.01,371.5,0,0.0,0.0,False
PANW,2026-09-21T18:00:00-04:00,after hours,371.5,371.76,370.01,371.11,0,0.0,0.0,False
PANW,2026-09-21T18:30:00-04:00,after hours,371.9999,371.9999,370.0,371.4042,0,0.0,0.0,False
PANW,2026-09-21T19:00:00-04:00,after hours,371.57,371.57,370.9,371.05,0,0.0,0.0,False
PANW,2026-09-21T19:30:00-04:00,after hours,371.05,371.57,370.6743,371.57,0,0.0,0.0,False
PANW,2026-09-22T16:00:00-04:00,after hours,374.57,374.95,371.44,374.21,0,0.0,0.0,False
PANW,2026-09-22T16:30:00-04:00,after hours,374.28,374.75,373.82,374.43,0,0.0,0.0,False
PANW,2026-09-22T17:00:00-04:00,after hours,371.0,374.4802,371.0,374.1,0,0.0,0.0,False
PANW,2026-09-22T17:30:00-04:00,after hours,374.1321,374.7,374.1,374.5,0,0.0,0.0,False
PANW,2026-09-22T18:00:00-04:00,after hours,374.5,375.0,374.1,375.0,0,0.0,0.0,False
PANW,2026-09-22T18:30:00-04:00,after hours,375.0,375.0,374.1,374.2395,0,0.0,0.0,False
PANW,2026-09-22T19:00:00-04:00,after hours,374.26,374.9215,374.1,374.8605,0,0.0,0.0,False
PANW,2026-09-22T19:30:00-04:00,after hours,374.86,375.0,374.1,374.82,0,0.0,0.0,False
PANW,2026-09-23T16:00:00-04:00,after hours,393.3,393.84,392.0,392.3,0,0.0,0.0,False
PANW,2026-09-23T16:30:00-04:00,after hours,392.25,393.0,391.6,392.3,0,0.0,0.0,False
PANW,2026-09-23T17:00:00-04:00,after hours,392.5,392.9,391.75,392.04,0,0.0,0.0,False
PANW,2026-09-23T17:30:00-04:00,after hours,392.035,393.3,391.9,392.25,0,0.0,0.0,False
PANW,2026-09-23T18:00:00-04:00,after hours,392.25,392.51,391.75,392.45,0,0.0,0.0,False
PANW,2026-09-23T18:30:00-04:00,after hours,392.45,392.6,392.3,392.6,0,0.0,0.0,False
PANW,2026-09-23T19:00:00-04:00,after hours,392.3,392.87,392.3,392.34,0,0.0,0.0,False
PANW,2026-09-23T19:30:00-04:00,after hours,392.3,392.55,392.0,392.19,0,0.0,0.0,False
PLTR,2026-09-18T16:00:00-04:00,after hours,177.64,178.0,177.35,177.63,0,0.0,0.0,False
PLTR,2026-09-18T16:30:00-04:00,after hours,177.71,178.0,174.2464,177.25,0,0.0,0.0,False
PLTR,2026-09-18T17:00:00-04:00,after hours,177.42,177.93,170.8634,177.64,0,0.0,0.0,False
