symbol,timestamp_ny,session,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_nonzero
NVDA,2026-09-21T07:30:00-04:00,pre-market,224.1682,224.63,223.93,224.539,0,0.0,0.0,False
NVDA,2026-09-21T08:00:00-04:00,pre-market,224.539,224.67,223.6535,223.7292,0,0.0,0.0,False
NVDA,2026-09-21T08:30:00-04:00,pre-market,223.7292,223.89,223.4112,223.4985,0,0.0,0.0,False
NVDA,2026-09-21T09:00:00-04:00,pre-market,223.4985,223.74,222.55,222.96,0,0.0,0.0,False
NVDA,2026-09-21T09:30:00-04:00,regular market,222.93499755859375,224.92999267578125,221.55999755859375,224.1300048828125,16101813,0.0,0.0,True
NVDA,2026-09-21T10:00:00-04:00,regular market,224.1199951171875,224.2899932861328,222.5800018310547,223.63999938964844,7740244,0.0,0.0,True
NVDA,2026-09-21T10:30:00-04:00,regular market,223.64500427246094,225.16000366210938,223.55999755859375,224.95680236816406,7328586,0.0,0.0,True
NVDA,2026-09-21T11:00:00-04:00,regular market,224.9600067138672,225.5,224.71009826660156,224.86000061035156,6960722,0.0,0.0,True
NVDA,2026-09-21T11:30:00-04:00,regular market,224.875,225.36000061035156,224.85000610351562,225.10499572753906,4077698,0.0,0.0,True
NVDA,2026-09-21T12:00:00-04:00,regular market,225.10499572753906,225.79849243164062,224.85000610351562,225.5800018310547,6239431,0.0,0.0,True
NVDA,2026-09-21T12:30:00-04:00,regular market,225.59500122070312,226.5399932861328,225.59500122070312,226.28500366210938,5122668,0.0,0.0,True
NVDA,2026-09-21T13:00:00-04:00,regular market,226.28500366210938,227.24000549316406,226.24000549316406,227.1999969482422,5670847,0.0,0.0,True
NVDA,2026-09-21T13:30:00-04:00,regular market,227.19000244140625,227.6699981689453,226.7532958984375,227.09060668945312,4772997,0.0,0.0,True
NVDA,2026-09-21T14:00:00-04:00,regular market,227.10000610351562,227.5399932861328,227.00999450683594,227.44000244140625,3795226,0.0,0.0,True
NVDA,2026-09-21T14:30:00-04:00,regular market,227.44000244140625,228.5,227.30999755859375,227.6898956298828,5730270,0.0,0.0,True
